"","author","year","file","titles","periodical","volume","number"
"1420","Abrams",2004,"Abrams-2004-When does periodic v.txt","When does periodic variation in resource growth allow robust coexistence of competing consumer species?EcologyEcology","Ecology","85","2"
"1421","Currylin.K",1967,"Currylin.K-1967-Hasler,Ad - Orientat.txt","Hasler,Ad - Orientation of SalmonEcologyEcology","Ecology","48","5"
"1422","Coffin",1988,"Coffin-1988-The Effects of Distu.txt","The Effects of Disturbance Size and Frequency on a Shortgrass Plant CommunityEcologyEcology","Ecology","69","5"
"1423","Currylin.K",1967,"Currylin.K-1967-Johnsgard,Pa - Handb.txt","Johnsgard,Pa - Handbook of Waterfowl BehaviorEcologyEcology","Ecology","48","1"
"1424","Dole",1965,"Dole-1965-Summer Movements of.txt","Summer Movements of Adult Leopard Frogs, Rana-Pipiens Schreber, in Northern MichiganEcologyEcology","Ecology","46","3"
"1425","Calef",1973,"Calef-1973-Natural Mortality of.txt","Natural Mortality of Tadpoles in a Population of Rana-AuroraEcologyEcology","Ecology","54","4"
"1426","Anderson",1993,"Anderson-1993-Predator Behavior Fa.txt","Predator Behavior Favors Clumped Nesting in an Oceanic SeabirdEcologyEcology","Ecology","74","8"
"1427","Skelly",2002,"Skelly-2002-Experimental venue a.txt","Experimental venue and estimation of interaction strengthEcologyEcology","Ecology","83","8"
"1428","Ayala",1979,"Ayala-1979-Genetic-Variability.txt","Genetic-Variability in the Pelagic Environment - ParadoxEcologyEcology","Ecology","60","1"
"1429","Gans",1976,"Gans-1976-Research on Crocodil.txt","Research on CrocodilesEcologyEcology","Ecology","57","5"
"1430","Latting",1961,"Latting-1961-Biology of Desmanthu.txt","Biology of Desmanthus IllinoensisEcologyEcology","Ecology","42","3"
"1431","Bradshaw",1973,"Bradshaw-1973-Homeostasis and Poly.txt","Homeostasis and Polymorphism in Vernal Development of Chaoborus-AmericanusEcologyEcology","Ecology","54","6"
"1432","Carlson",1973,"Carlson-1973-Effects of Shading o.txt","Effects of Shading on Migratory Behavior of Florida Harvestor Ant, Pogonomyrmex-BadiusEcologyEcology","Ecology","54","2"
"1433","Andrews",1991,"Andrews-1991-Population Stability.txt","Population Stability of a Tropical LizardEcologyEcology","Ecology","72","4"
"1434","Creel",2009,"Creel-2009-Wolf presence and in.txt","Wolf presence and increased willow consumption by Yellowstone elk: implications for trophic cascadesEcologyEcology","Ecology","90","9"
"1435","Abramsky",1990,"Abramsky-1990-Habitat Selection -.txt","Habitat Selection - an Experimental Field-Test with 2 Gerbil SpeciesEcologyEcology","Ecology","71","6"
"1436","Fox",1975,"Fox-1975-Factors Influencing.txt","Factors Influencing Cannibalism, a Mechanism of Population Limitation in Predator Notonecta-HoffmanniEcologyEcology","Ecology","56","4"
"1438","Festabianchet",1995,"Festabianchet-1995-Life-History Consequ.txt","Life-History Consequences of Variation in Age of Primiparity in Bighorn EwesEcologyEcology","Ecology","76","3"
"1439","Campbell",1985,"Campbell-1985-The Mechanism of Com.txt","The Mechanism of Competition for Pollination between 2 Forest HerbsEcologyEcology","Ecology","66","2"
"1440","Billings",1950,"Billings-1950-Vegetation and Plant.txt","Vegetation and Plant Growth as Affected by Chemically Altered Rocks in the Western Great BasinEcologyEcology","Ecology","31","1"
"1441","Agrawal",2002,"Agrawal-2002-Herbivory and matern.txt","Herbivory and maternal effects: Mechanisms and consequences of transgenerational induced plant resistanceEcologyEcology","Ecology","83","12"
"1442","Aizen",1994,"Aizen-1994-Forest Fragmentation.txt","Forest Fragmentation, Pollination, and Plant Reproduction in a Chaco Dry Forest, ArgentinaEcologyEcology","Ecology","75","2"
"1443","Huey",1989,"Huey-1989-Hot Rocks and Not-So.txt","Hot Rocks and Not-So-Hot Rocks - Retreat-Site Selection by Garter Snakes and Its Thermal ConsequencesEcologyEcology","Ecology","70","4"
"1444","Belnap",2005,"Belnap-2005-Soil biota can chang.txt","Soil biota can change after exotic plant invasion: does this affect ecosystem processes?EcologyEcology","Ecology","86","11"
"1445","Siccama",1994,"Siccama-1994-Corrections to Allom.txt","Corrections to Allometric Equations and Plant-Tissue Chemistry for Hubbard-Brook-Experimental-ForestEcologyEcology","Ecology","75","1"
"1446","Anderson",1983,"Anderson-1983-Density-Estimation o.txt","Density-Estimation of Small-Mammal Populations Using a Trapping Web and Distance Sampling MethodsEcologyEcology","Ecology","64","4"
"1447","Berger",1988,"Berger-1988-Size-Related Effects.txt","Size-Related Effects on Search Times in North-American Grassland Female UngulatesEcologyEcology","Ecology","69","1"
"1448","Boulinier",1997,"Boulinier-1997-An experimental stud.txt","An experimental study of the costs of reproduction in the Kittiwake Rissa tridactyla: CommentEcologyEcology","Ecology","78","4"
"1449","Hairston",1990,"Hairston-1990-A Field-Test for the.txt","A Field-Test for the Cues of Diapause in a Fresh-Water CopepodEcologyEcology","Ecology","71","6"
"1450","Bardgett",2003,"Bardgett-2003-Herbivore-mediated l.txt","Herbivore-mediated linkages between aboveground and belowground communitiesEcologyEcology","Ecology","84","9"
"1451","Bergelson",1993,"Bergelson-1993-Rate of Weed Spread.txt","Rate of Weed Spread in Spatially Heterogeneous EnvironmentsEcologyEcology","Ecology","74","4"
"1452","Schneider",1999,"Schneider-1999-Dispersal of a highl.txt","Dispersal of a highly vagile insect in a heterogeneous environmentEcologyEcology","Ecology","80","8"
"1453","Hamner",1970,"Hamner-1970-Why Dont Bobolinks B.txt","Why Dont Bobolinks Breed in BrazilEcologyEcology","Ecology","51","4"
"1454","Ehrlen",1995,"Ehrlen-1995-Pollen Limitation an.txt","Pollen Limitation and Population-Growth in a Herbaceous Perennial LegumeEcologyEcology","Ecology","76","2"
"1455","Agrawal",2000,"Agrawal-2000-Host-range evolution.txt","Host-range evolution: Adaptation and trade-offs in fitness of mites on alternative hostsEcologyEcology","Ecology","81","2"
"1456","Kirchhoff",2003,"Kirchhoff-2003-Effects of salmon-de.txt","Effects of salmon-derived nitrogen on riparian forest growth and implications for stream productivity: CommentEcologyEcology","Ecology","84","12"
"1457","Casey",1976,"Casey-1976-Activity Patterns, B.txt","Activity Patterns, Body-Temperature and Thermal Ecology in 2 Desert Caterpillars (Lepidoptera-Sphingidae)EcologyEcology","Ecology","57","3"
"1458","Luck",1985,"Luck-1985-Competitive-Exclusio.txt","Competitive-Exclusion of Aphytis-Lingnanensis by Aphytis-Melinus - Potential Role of Host SizeEcologyEcology","Ecology","66","3"
"1459","Billings",1941,"Billings-1941-Quantitative correla.txt","Quantitative correlations between vegetational changes and soil developmentEcologyEcology","Ecology","22","4"
"1460","Cary",1971,"Cary-1971-Energy Levels of Wat.txt","Energy Levels of Water in a Community of Plants as Influenced by Soil MoistureEcologyEcology","Ecology","52","4"
"1461","Ehrlen",1992,"Ehrlen-1992-Proximate Limits to.txt","Proximate Limits to Seed Production in a Herbaceous Perennial Legume, Lathyrus-VernusEcologyEcology","Ecology","73","5"
"1462","Bradshaw",1985,"Bradshaw-1985-Relationships betwee.txt","Relationships between Contemporary Pollen and Vegetation Data from Wisconsin and Michigan, USAEcologyEcology","Ecology","66","3"
"1463","Dobzhansky",1946,"Dobzhansky-1946-Complete Reproductiv.txt","Complete Reproductive Isolation between 2 Morphologically Similar Species of DrosophilaEcologyEcology","Ecology","27","3"
"1464","Clarke",2010,"Clarke-2010-High connectivity am.txt","High connectivity among locally adapted populations of a marine fish (Menidia menidia)EcologyEcology","Ecology","91","12"
"1465","Forest",1975,"Forest-1975-Commentary - Cost an.txt","Commentary - Cost and Value - Environmental ExperienceEcologyEcology","Ecology","56","5"
"1466","Doledec",2000,"Doledec-2000-Niche separation in.txt","Niche separation in community analysis: A new methodEcologyEcology","Ecology","81","10"
"1467","Belmaker",2009,"Belmaker-2009-Estimating the rate.txt","Estimating the rate of biological introductions: Lessepsian fishes in the Mediterranean (vol 90, pg 1134, 2009)EcologyEcology","Ecology","90","5"
"1468","Buell",1966,"Buell-1966-Upland Forest Contin.txt","Upland Forest Continuum in Northern New JerseyEcologyEcology","Ecology","47","3"
"1469","Davidar",1986,"Davidar-1986-The Relationship bet.txt","The Relationship between Fruit Crop Sizes and Fruit Removal Rates by BirdsEcologyEcology","Ecology","67","1"
"1470","Howmille.R",1969,"Howmille.R-1969-Studies on Some Inla.txt","Studies on Some Inland Waters of GalapagosEcologyEcology","Ecology","50","1"
"1471","Bergeron",2000,"Bergeron-2000-Species and stand dy.txt","Species and stand dynamics in the mixed woods of Quebec's southern boreal forestEcologyEcology","Ecology","81","6"
"1472","Haase",2008,"Haase-2008-Above- and Belowgrou.txt","Above- and Belowground Interactions Are Mediated by Nutrient AvailabilityEcologyEcology","Ecology","89","11"
"1473","Brown",1961,"Brown-1961-Populations of Amphi.txt","Populations of Amphibians and Reptiles in Submontane and Montane Forests of Cuernos De Negros, Philippine IslandsEcologyEcology","Ecology","42","4"
"1474","Griffiths",1975,"Griffiths-1975-Prey Availability an.txt","Prey Availability and Food of PredatorsEcologyEcology","Ecology","56","5"
"1475","Capon",1967,"Capon-1967-Heat Pre-Treatment a.txt","Heat Pre-Treatment as a Means of Increasing Germination of Desert Annual SeedsEcologyEcology","Ecology","48","2"
"1476","Anderson",1994,"Anderson-1994-Aic Model Selection.txt","Aic Model Selection in Overdispersed Capture-Recapture DataEcologyEcology","Ecology","75","6"
