"Addo-Bediako-2000-Thermal tolerance, c.txt",1,232,26.57,0.0001
"Agrawal-2000-How leaf domatia and.txt",4,231,0.829,0.508
"Agrawal-2000-How leaf domatia and.txt",4,231,0.470,0.758
"Albon-1987-Early Development an.txt",1,7,24.93,0.01
"Albon-1987-Early Development an.txt",1,10,6.909,0.05
"Albrecht-2009-Seedling establishme.txt",2,561,16.98,0.001
"Albrecht-2009-Seedling establishme.txt",2,561,5.30,0.005
"Albrecht-2009-Seedling establishme.txt",2,561,0.36,0.70
"Alexander-1993-Genotypic Variation.txt",1,10,15.15,0.005
"Alexander-2000-Seedling disease in.txt",1,21,3.99,0.059
"Alexander-2000-Seedling disease in.txt",2,46,3.43,0.04
"Alexander-2000-Seedling disease in.txt",2,46,3.9,0.03
"Alexander-2000-Seedling disease in.txt",1,43,11.41,0.01
"Alexander-2000-Seedling disease in.txt",2,43,4.45,0.02
"Alexander-2000-Seedling disease in.txt",4,43,2.96,0.03
"Anthony-2000-Lipid content and en.txt",11,276,519.3,0.01
"Anthony-2000-Lipid content and en.txt",17,794,533.3,0.01
"Anthony-2000-Lipid content and en.txt",17,797,522.7,0.01
"Anthony-2000-Lipid content and en.txt",10,266,529.8,0.01
"Anthony-2000-Lipid content and en.txt",1,212,524.5,0.01
"Anthony-2000-Lipid content and en.txt",1,211,540.7,0.01
"Anthony-2000-Lipid content and en.txt",3,146,523.2,0.01
"Anthony-2000-Lipid content and en.txt",3,146,523.2,0.01
"Anthony-2000-Lipid content and en.txt",3,309,524.4,0.01
"Anthony-2000-Lipid content and en.txt",3,308,513.1,0.01
"Anthony-2000-Lipid content and en.txt",2,31,56.80,0.01
"Anthony-2000-Lipid content and en.txt",2,30,55.72,0.01
"Anthony-2000-Lipid content and en.txt",2,31,59.39,0.01
"Anthony-2000-Lipid content and en.txt",4,88,57.42,0.01
"Anthony-2000-Lipid content and en.txt",4,84,56.38,0.01
"Anthony-2000-Lipid content and en.txt",2,102,511.5,0.01
"Anthony-2000-Lipid content and en.txt",2,91,527.6,0.01
"Anthony-2000-Lipid content and en.txt",2,101,54.26,0.02
"Anthony-2000-Lipid content and en.txt",2,91,510.4,0.01
"Anthony-2000-Lipid content and en.txt",2,102,58.43,0.01
"Anthony-2000-Lipid content and en.txt",2,91,53.81,0.03
"Anthony-2000-Lipid content and en.txt",8,264,530.9,0.01
"Anthony-2000-Lipid content and en.txt",2,181,511.1,0.01
"Anthony-2000-Lipid content and en.txt",2,178,524.8,0.01
"Anthony-2000-Lipid content and en.txt",1,38,59.90,0.01
"Anthony-2000-Lipid content and en.txt",1,37,56.04,0.02
"Anthony-2000-Lipid content and en.txt",1,71,515.8,0.01
"Anthony-2000-Lipid content and en.txt",1,69,522.3,0.01
"art100008.txt",2,7,3.05,0.11
"art100702.txt",1,15,51.35,0.0001
"art100991.txt",1,197,10.9,0.001
"art100991.txt",1,220,4.8,0.030
"art100991.txt",1,220,3.1,0.082
"art100991.txt",1,220,4.3,0.039
"art101126.txt",2,137,9.37,0.0001
"art101506.txt",3,32,21.0,0.0001
