file,topic,score
Murrell-2010-When does local spat.txt,8,0.3673207699
Bryant-1993-Effects of Mineral-N.txt,3,0.7773029936
Jersakova-2011-Biological Flora of.txt,4,0.537406138
Caraco-1980-On Foraging Time All.txt,1,0.5924446687
"Hairston-1967-Dobzhansky,T - Evolu.txt",10,0.434456608
Hails-1992-Spatial Density Depe.txt,6,0.9292897153
Rebertus-1997-The importance of ga.txt,4,0.90931429
Guevara-2000-Resource partitionin.txt,5,0.6213322536
Wallace-1974-Studies on Intraspec.txt,8,0.4842511724
Colwell-2000-The mid-domain effec.txt,6,0.6354105855
Rifai-2000-The diet of the Dese.txt,2,0.4417357292
Johnson-1991-Climatically Induced.txt,4,0.5277579001
Bernstein-1979-Partitioning of Spac.txt,1,0.3132667779
Paul-1989-The Effects of Pucci.txt,5,0.7172403867
Malloch-1972-Salt-Spray Depositio.txt,7,0.4848942424
Walker-1966-Vegetation of Lake I.txt,4,0.9745010978
Basch-1963-Environmentally Infl.txt,9,0.5710655009
Ireland-2012-Upland deforestation.txt,8,0.442121345
Burns-2012-Effects of competiti.txt,8,0.7398190397
Disney-1971-Association between.txt,2,0.5638517132
Grau-2000-Regeneration pattern.txt,4,0.6222872276
Monk-1966-An Ecological Signif.txt,8,0.3943933566
Sabo-2002-Numerical response o.txt,5,0.6503285736
Lensink-1997-Range expansion of r.txt,6,0.8314662898
Nichols-1997-Tests for senescent.txt,6,0.9893197847
Benton-2008-Maternal effects med.txt,2,0.5927865428
Brown-1970-Egg Hatching and Lif.txt,3,0.6713200036
Van der Plas-2012-Trait similarity pat.txt,8,0.8529490982
Thompson-1974-Survival Value of Fl.txt,5,0.5149636587
Focardi-1990-Ecological Determina.txt,6,0.7524999892
Joshi-2000-Root hemiparasites a.txt,8,0.6100424674
Nadelhoffer-1991-Effects of Temperatu.txt,8,0.557007737
Seifert-1980-Mosquito Fauna of He.txt,2,0.5512779851
Nifontova-2000-Concentrations of lo.txt,4,0.3712891047
Urbanska-2000-Seed rain in high-al.txt,4,0.573110889
Methratta-2008-Propagation of Scale.txt,6,0.5993169487
Reid-1964-Light-Intensity + He.txt,3,0.610489657
Carriker-1951-Observations on the.txt,5,0.6204433402
Smith-1957-An Analysis of Post-.txt,4,0.6202091046
"Shantz-1945-Clements,Frederic,Ed.txt",4,0.552154618
Verberk-2010-Explaining abundance.txt,1,0.2835774716
White-2011-Metabolic rate throu.txt,7,0.3625289706
Root-1988-Energy Constraints o.txt,2,0.3717202266
Kessler-2000-Altitudinal zonation.txt,4,0.7599019001
Freschet-2010-Evidence of the 'pla.txt,8,0.5609981533
Webster-1957-Succession of Fungi.txt,4,0.4245200666
Persson-1990-Optimal Foraging and.txt,5,0.7870965943
Davies-2012-Using phylogenetic t.txt,8,0.3910636
Colton-1962-Occurrence of Oceani.txt,9,0.434092209
Clark-2000-Using spatial analys.txt,10,0.5760904402
Tisdale-1959-Observations on the.txt,4,0.8100334325
Jonsen-2006-Robust hierarchical.txt,6,0.8170740094
